epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,42.6589,0.62387,0.87791,1.00888,0.66658,0.69325,0.76945,0.48712,1.6656,1.47013,1.38263,2.82082e-05,2.82082e-05,2.82082e-05
40,43.7667,0.80358,0.83751,1.16656,0.66658,0.69325,0.76945,0.48712,1.6656,1.47013,1.38263,2.84911e-05,2.84911e-05,2.84911e-05
41,44.8397,0.73379,0.91017,1.05425,0.67602,0.65362,0.76954,0.48822,1.64667,1.49558,1.37632,2.87504e-05,2.87504e-05,2.87504e-05
42,45.8719,0.89048,1.94908,1.26601,0.67602,0.65362,0.76954,0.48822,1.64667,1.49558,1.37632,2.89861e-05,2.89861e-05,2.89861e-05
43,47.0492,0.84309,1.24769,1.22717,0.68689,0.65,0.73538,0.46206,1.65282,1.54028,1.3826,2.91983e-05,2.91983e-05,2.91983e-05
44,48.1855,1.06423,0.9854,1.44262,0.68689,0.65,0.73538,0.46206,1.65282,1.54028,1.3826,2.93869e-05,2.93869e-05,2.93869e-05
45,49.2964,0.62318,0.93522,0.99398,0.70674,0.65,0.72134,0.43589,1.65927,1.56456,1.38442,2.9552e-05,2.9552e-05,2.9552e-05
46,50.3772,0.84246,1.01334,1.2742,0.70674,0.65,0.72134,0.43589,1.65927,1.56456,1.38442,2.96935e-05,2.96935e-05,2.96935e-05
47,51.5155,0.88922,1.44361,1.35782,0.74345,0.65,0.70087,0.41692,1.67733,1.63081,1.39136,2.98114e-05,2.98114e-05,2.98114e-05
48,52.5729,0.82761,1.62996,1.1952,0.74345,0.65,0.70087,0.41692,1.67733,1.63081,1.39136,2.99058e-05,2.99058e-05,2.99058e-05
49,53.6578,0.67508,0.71024,1.26579,0.68705,0.65,0.69932,0.41526,1.66621,1.6399,1.38737,2.99766e-05,2.99766e-05,2.99766e-05
50,54.7181,0.76913,0.82784,1.27254,0.68705,0.65,0.69932,0.41526,1.66621,1.6399,1.38737,3.00238e-05,3.00238e-05,3.00238e-05
51,55.7968,0.81635,0.85937,1.11787,0.65572,0.68808,0.69675,0.41316,1.65359,1.67001,1.3884,3.00475e-05,3.00475e-05,3.00475e-05
52,56.8471,0.94219,0.92254,1.31805,0.65572,0.68808,0.69675,0.41316,1.65359,1.67001,1.3884,3.00476e-05,3.00476e-05,3.00476e-05
53,57.9165,0.64509,0.70066,1.1791,0.65572,0.68808,0.69675,0.41316,1.65359,1.67001,1.3884,3.00242e-05,3.00242e-05,3.00242e-05
54,58.9944,0.79825,0.94621,1.24601,0.69067,0.68577,0.6975,0.41231,1.65671,1.69742,1.3952,2.99772e-05,2.99772e-05,2.99772e-05
55,60.0436,0.76672,0.90501,1.11115,0.69067,0.68577,0.6975,0.41231,1.65671,1.69742,1.3952,2.99066e-05,2.99066e-05,2.99066e-05
56,61.106,1.17803,1.55907,1.63361,0.69067,0.68577,0.6975,0.41231,1.65671,1.69742,1.3952,2.98125e-05,2.98125e-05,2.98125e-05
57,62.1979,0.91825,1.45911,1.36533,0.73321,0.51667,0.69833,0.39639,1.67052,1.70172,1.41063,2.96948e-05,2.96948e-05,2.96948e-05
58,63.25,0.88395,1.48764,1.28966,0.73321,0.51667,0.69833,0.39639,1.67052,1.70172,1.41063,2.95535e-05,2.95535e-05,2.95535e-05
59,64.2851,0.79383,0.83852,1.16384,0.73321,0.51667,0.69833,0.39639,1.67052,1.70172,1.41063,2.93887e-05,2.93887e-05,2.93887e-05
60,65.3558,0.9563,0.83717,1.53201,0.82881,0.48337,0.6833,0.39806,1.7163,1.7581,1.44592,2.92003e-05,2.92003e-05,2.92003e-05
61,66.4173,0.65837,0.68756,1.07039,0.82881,0.48337,0.6833,0.39806,1.7163,1.7581,1.44592,2.89884e-05,2.89884e-05,2.89884e-05
62,67.4717,0.72504,0.91068,1.06072,0.82881,0.48337,0.6833,0.39806,1.7163,1.7581,1.44592,2.87529e-05,2.87529e-05,2.87529e-05
63,68.5402,0.78612,0.84059,1.16768,0.81945,0.48512,0.68353,0.38162,1.71752,1.79694,1.45234,2.84938e-05,2.84938e-05,2.84938e-05
64,69.5939,0.61963,0.63976,1.06481,0.81945,0.48512,0.68353,0.38162,1.71752,1.79694,1.45234,2.82112e-05,2.82112e-05,2.82112e-05
65,70.6452,0.7701,0.69996,1.31016,0.81945,0.48512,0.68353,0.38162,1.71752,1.79694,1.45234,2.7905e-05,2.7905e-05,2.7905e-05
